Identificador Usuario,Tipo Suscripción,Ingresos Mensuales,Día Suscripción,Mes Suscripción,Año Suscripción,Fecha Suscripción,Día Último Pago,Mes Último Pago,Año Último Pago,Semana suscripción,Fecha Último Pago,Meses contratados,Ingresos totales,País,País2,Edad,Género,Dispositivo,Duración Plan,Duplicados,Duracion Plan (Meses),Tipo Plan,id_cliente,fecha,importe,producto,mes,año
456,Premium,14,4,6,23,2023-06-04,1900-01-27,1900-01-06,1900-01-24,domingo,2024-06-27,13,182,Reino Unido,Reino Unido,41,Masculino,Tablet,6 Meses,0,6,Semestral,456,2023-03-08,459,Plan Premium,3,2023
456,Premium,14,4,6,23,2023-06-04,1900-01-27,1900-01-06,1900-01-24,domingo,2024-06-27,13,182,Reino Unido,Reino Unido,41,Masculino,Tablet,6 Meses,0,6,Semestral,456,2024-06-24,453,Plan Básico,6,2024
456,Premium,14,4,6,23,2023-06-04,1900-01-27,1900-01-06,1900-01-24,domingo,2024-06-27,13,182,Reino Unido,Reino Unido,41,Masculino,Tablet,6 Meses,0,6,Semestral,456,2028-05-27,421,Plan Premium,5,2028
456,Premium,14,4,6,23,2023-06-04,1900-01-27,1900-01-06,1900-01-24,domingo,2024-06-27,13,182,Reino Unido,Reino Unido,41,Masculino,Tablet,6 Meses,0,6,Semestral,456,2030-09-25,35,Plan Estándar,9,2030
457,Estándar,12,29,6,23,2023-06-29,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,12,144,Australia,Australia,40,Masculino,Smart TV,1 Mes,0,1,Mensual,457,2028-08-22,191,Plan Estándar,8,2028
457,Estándar,12,29,6,23,2023-06-29,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,12,144,Australia,Australia,40,Masculino,Smart TV,1 Mes,0,1,Mensual,457,2032-01-12,264,Plan Premium,1,2032
457,Estándar,12,29,6,23,2023-06-29,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,12,144,Australia,Australia,40,Masculino,Smart TV,1 Mes,0,1,Mensual,457,2035-11-27,227,Plan Estándar,11,2035
459,Estándar,12,19,7,23,2023-07-19,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,12,144,Reino Unido,Reino Unido,46,Femenino,Tablet,3 Meses,0,3,Trimestral,459,2027-04-30,451,Plan Básico,4,2027
460,Premium,14,30,6,23,2023-06-30,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,168,EEUU,EEUU,30,Femenino,Smart TV,3 Meses,0,3,Trimestral,460,2023-01-22,208,Plan Estándar,1,2023
460,Premium,14,30,6,23,2023-06-30,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,168,EEUU,EEUU,30,Femenino,Smart TV,3 Meses,0,3,Trimestral,460,2023-09-23,329,Plan Estándar,9,2023
460,Premium,14,30,6,23,2023-06-30,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,168,EEUU,EEUU,30,Femenino,Smart TV,3 Meses,0,3,Trimestral,460,2027-08-04,271,Plan Estándar,8,2027
460,Premium,14,30,6,23,2023-06-30,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,168,EEUU,EEUU,30,Femenino,Smart TV,3 Meses,0,3,Trimestral,460,2030-04-04,443,Plan Básico,4,2030
460,Premium,14,30,6,23,2023-06-30,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,168,EEUU,EEUU,30,Femenino,Smart TV,3 Meses,0,3,Trimestral,460,2035-04-29,369,Plan Básico,4,2035
461,Básica,10,16,6,23,2023-06-16,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,13,130,Reino Unido,Reino Unido,37,Masculino,Smart TV,3 Meses,0,3,Trimestral,461,2029-03-03,72,Plan Estándar,3,2029
461,Básica,10,16,6,23,2023-06-16,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,13,130,Reino Unido,Reino Unido,37,Masculino,Smart TV,3 Meses,0,3,Trimestral,461,2032-02-14,197,Plan Básico,2,2032
461,Básica,10,16,6,23,2023-06-16,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,13,130,Reino Unido,Reino Unido,37,Masculino,Smart TV,3 Meses,0,3,Trimestral,461,2036-03-29,408,Plan Estándar,3,2036
462,Premium,14,10,6,23,2023-06-10,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,13,182,Francia,Francia,45,Masculino,Smartphone,12 Meses,0,12,Anual,462,2032-07-12,51,Plan Premium,7,2032
463,Estándar,12,1,6,23,2023-06-01,1900-01-26,1900-01-06,1900-01-24,jueves,2024-06-26,13,156,Francia,Francia,40,Masculino,Smart TV,12 Meses,0,12,Anual,463,2029-02-24,71,Plan Básico,2,2029
463,Estándar,12,1,6,23,2023-06-01,1900-01-26,1900-01-06,1900-01-24,jueves,2024-06-26,13,156,Francia,Francia,40,Masculino,Smart TV,12 Meses,0,12,Anual,463,2035-10-13,269,Plan Estándar,10,2035
464,Básica,10,3,6,23,2023-06-03,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,13,130,Alemania,Alemania,45,Masculino,Ordenador,1 Mes,0,1,Mensual,464,2032-12-08,214,Plan Estándar,12,2032
465,Estándar,12,5,6,23,2023-06-05,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,13,156,Brasil,Brasil,34,Masculino,Ordenador,1 Mes,0,1,Mensual,465,2028-10-12,353,Plan Premium,10,2028
465,Estándar,12,5,6,23,2023-06-05,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,13,156,Brasil,Brasil,34,Masculino,Ordenador,1 Mes,0,1,Mensual,465,2034-07-16,466,Plan Estándar,7,2034
465,Estándar,12,5,6,23,2023-06-05,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,13,156,Brasil,Brasil,34,Masculino,Ordenador,1 Mes,0,1,Mensual,465,2036-03-09,239,Plan Estándar,3,2036
468,Estándar,12,28,6,23,2023-06-28,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,12,144,Alemania,Alemania,32,Masculino,Smart TV,6 Meses,0,6,Semestral,468,2025-03-19,317,Plan Premium,3,2025
468,Estándar,12,28,6,23,2023-06-28,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,12,144,Alemania,Alemania,32,Masculino,Smart TV,6 Meses,0,6,Semestral,468,2029-12-20,489,Plan Estándar,12,2029
468,Estándar,12,28,6,23,2023-06-28,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,12,144,Alemania,Alemania,32,Masculino,Smart TV,6 Meses,0,6,Semestral,468,2036-07-20,365,Plan Premium,7,2036
470,Básica,10,3,7,23,2023-07-03,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,12,120,Francia,Francia,31,Femenino,Tablet,3 Meses,0,3,Trimestral,470,2023-09-25,226,Plan Premium,9,2023
470,Básica,10,3,7,23,2023-07-03,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,12,120,Francia,Francia,31,Femenino,Tablet,3 Meses,0,3,Trimestral,470,2028-01-09,469,Plan Estándar,1,2028
471,Premium,14,8,7,23,2023-07-08,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,12,168,Francia,Francia,43,Masculino,Tablet,6 Meses,0,6,Semestral,471,2024-07-29,376,Plan Estándar,7,2024
471,Premium,14,8,7,23,2023-07-08,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,12,168,Francia,Francia,43,Masculino,Tablet,6 Meses,0,6,Semestral,471,2025-12-27,366,Plan Básico,12,2025
471,Premium,14,8,7,23,2023-07-08,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,12,168,Francia,Francia,43,Masculino,Tablet,6 Meses,0,6,Semestral,471,2031-09-27,101,Plan Estándar,9,2031
471,Premium,14,8,7,23,2023-07-08,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,12,168,Francia,Francia,43,Masculino,Tablet,6 Meses,0,6,Semestral,471,2035-06-04,320,Plan Estándar,6,2035
471,Premium,14,8,7,23,2023-07-08,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,12,168,Francia,Francia,43,Masculino,Tablet,6 Meses,0,6,Semestral,471,2036-04-14,142,Plan Estándar,4,2036
472,Básica,10,13,7,23,2023-07-13,1900-01-27,1900-01-06,1900-01-24,jueves,2024-06-27,12,120,Brasil,Brasil,32,Femenino,Tablet,1 Mes,0,1,Mensual,472,2035-04-10,324,Plan Premium,4,2035
474,Estándar,12,30,7,23,2023-07-30,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,11,132,Australia,Australia,38,Masculino,Smartphone,1 Mes,0,1,Mensual,474,2025-01-14,162,Plan Premium,1,2025
474,Estándar,12,30,7,23,2023-07-30,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,11,132,Australia,Australia,38,Masculino,Smartphone,1 Mes,0,1,Mensual,474,2026-12-05,41,Plan Estándar,12,2026
475,Básica,10,13,8,23,2023-08-13,1900-01-26,1900-01-06,1900-01-24,domingo,2024-06-26,11,110,Francia,Francia,31,Femenino,Smart TV,12 Meses,0,12,Anual,475,2023-01-26,53,Plan Básico,1,2023
475,Básica,10,13,8,23,2023-08-13,1900-01-26,1900-01-06,1900-01-24,domingo,2024-06-26,11,110,Francia,Francia,31,Femenino,Smart TV,12 Meses,0,12,Anual,475,2025-09-17,255,Plan Estándar,9,2025
475,Básica,10,13,8,23,2023-08-13,1900-01-26,1900-01-06,1900-01-24,domingo,2024-06-26,11,110,Francia,Francia,31,Femenino,Smart TV,12 Meses,0,12,Anual,475,2032-07-22,267,Plan Básico,7,2032
476,Premium,14,18,8,23,2023-08-18,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,11,154,Australia,Australia,31,Femenino,Ordenador,1 Mes,0,1,Mensual,476,2024-09-18,419,Plan Estándar,9,2024
476,Premium,14,18,8,23,2023-08-18,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,11,154,Australia,Australia,31,Femenino,Ordenador,1 Mes,0,1,Mensual,476,2029-06-08,26,Plan Básico,6,2029
476,Premium,14,18,8,23,2023-08-18,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,11,154,Australia,Australia,31,Femenino,Ordenador,1 Mes,0,1,Mensual,476,2029-12-10,331,Plan Premium,12,2029
476,Premium,14,18,8,23,2023-08-18,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,11,154,Australia,Australia,31,Femenino,Ordenador,1 Mes,0,1,Mensual,476,2030-02-12,453,Plan Básico,2,2030
476,Premium,14,18,8,23,2023-08-18,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,11,154,Australia,Australia,31,Femenino,Ordenador,1 Mes,0,1,Mensual,476,2031-04-07,324,Plan Estándar,4,2031
477,Básica,10,24,8,23,2023-08-24,1900-01-27,1900-01-06,1900-01-24,jueves,2024-06-27,11,110,Australia,Australia,50,Masculino,Ordenador,1 Mes,0,1,Mensual,477,2026-06-10,31,Plan Estándar,6,2026
478,Estándar,12,8,9,23,2023-09-08,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,10,120,Australia,Australia,32,Masculino,Ordenador,3 Meses,0,3,Trimestral,478,2025-07-05,314,Plan Básico,7,2025
478,Estándar,12,8,9,23,2023-09-08,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,10,120,Australia,Australia,32,Masculino,Ordenador,3 Meses,0,3,Trimestral,478,2027-07-07,277,Plan Premium,7,2027
481,Premium,14,4,9,23,2023-09-04,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,10,140,EEUU,EEUU,36,Masculino,Smart TV,1 Mes,0,1,Mensual,481,2028-06-02,237,Plan Básico,6,2028
481,Premium,14,4,9,23,2023-09-04,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,10,140,EEUU,EEUU,36,Masculino,Smart TV,1 Mes,0,1,Mensual,481,2033-02-22,425,Plan Estándar,2,2033
481,Premium,14,4,9,23,2023-09-04,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,10,140,EEUU,EEUU,36,Masculino,Smart TV,1 Mes,0,1,Mensual,481,2034-12-19,190,Plan Básico,12,2034
483,Estándar,12,25,8,23,2023-08-25,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,11,132,Reino Unido,Reino Unido,28,Masculino,Smart TV,1 Mes,0,1,Mensual,483,2028-03-06,440,Plan Básico,3,2028
483,Estándar,12,25,8,23,2023-08-25,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,11,132,Reino Unido,Reino Unido,28,Masculino,Smart TV,1 Mes,0,1,Mensual,483,2030-03-10,14,Plan Estándar,3,2030
483,Estándar,12,25,8,23,2023-08-25,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,11,132,Reino Unido,Reino Unido,28,Masculino,Smart TV,1 Mes,0,1,Mensual,483,2036-02-08,311,Plan Premium,2,2036
484,Estándar,12,25,8,23,2023-08-25,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,11,132,Reino Unido,Reino Unido,40,Masculino,Smartphone,6 Meses,0,6,Semestral,484,2026-11-26,124,Plan Básico,11,2026
484,Estándar,12,25,8,23,2023-08-25,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,11,132,Reino Unido,Reino Unido,40,Masculino,Smartphone,6 Meses,0,6,Semestral,484,2032-01-09,196,Plan Básico,1,2032
485,Básica,10,1,9,23,2023-09-01,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,10,100,EEUU,EEUU,28,Femenino,Tablet,12 Meses,0,12,Anual,485,2025-01-31,51,Plan Básico,1,2025
485,Básica,10,1,9,23,2023-09-01,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,10,100,EEUU,EEUU,28,Femenino,Tablet,12 Meses,0,12,Anual,485,2029-12-13,240,Plan Premium,12,2029
485,Básica,10,1,9,23,2023-09-01,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,10,100,EEUU,EEUU,28,Femenino,Tablet,12 Meses,0,12,Anual,485,2033-08-23,24,Plan Estándar,8,2033
486,Premium,14,13,9,23,2023-09-13,1900-01-26,1900-01-06,1900-01-24,miércoles,2024-06-26,10,140,Australia,Australia,37,Femenino,Ordenador,1 Mes,0,1,Mensual,486,2034-09-09,71,Plan Básico,9,2034
488,Estándar,12,8,10,23,2023-10-08,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,9,108,Australia,Australia,33,Femenino,Smart TV,12 Meses,0,12,Anual,488,2024-01-22,170,Plan Básico,1,2024
488,Estándar,12,8,10,23,2023-10-08,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,9,108,Australia,Australia,33,Femenino,Smart TV,12 Meses,0,12,Anual,488,2024-10-04,453,Plan Premium,10,2024
488,Estándar,12,8,10,23,2023-10-08,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,9,108,Australia,Australia,33,Femenino,Smart TV,12 Meses,0,12,Anual,488,2029-01-24,275,Plan Básico,1,2029
489,Premium,14,26,10,23,2023-10-26,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,9,126,Italia,Italia,49,Masculino,Tablet,6 Meses,0,6,Semestral,489,2023-07-27,386,Plan Básico,7,2023
489,Premium,14,26,10,23,2023-10-26,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,9,126,Italia,Italia,49,Masculino,Tablet,6 Meses,0,6,Semestral,489,2026-04-19,332,Plan Premium,4,2026
489,Premium,14,26,10,23,2023-10-26,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,9,126,Italia,Italia,49,Masculino,Tablet,6 Meses,0,6,Semestral,489,2027-11-11,486,Plan Básico,11,2027
489,Premium,14,26,10,23,2023-10-26,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,9,126,Italia,Italia,49,Masculino,Tablet,6 Meses,0,6,Semestral,489,2032-01-21,124,Plan Premium,1,2032
490,Básica,10,18,10,23,2023-10-18,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,9,90,EEUU,EEUU,36,Femenino,Smart TV,3 Meses,0,3,Trimestral,490,2027-09-18,247,Plan Básico,9,2027
490,Básica,10,18,10,23,2023-10-18,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,9,90,EEUU,EEUU,36,Femenino,Smart TV,3 Meses,0,3,Trimestral,490,2028-06-23,153,Plan Básico,6,2028
490,Básica,10,18,10,23,2023-10-18,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,9,90,EEUU,EEUU,36,Femenino,Smart TV,3 Meses,0,3,Trimestral,490,2033-05-29,125,Plan Premium,5,2033
490,Básica,10,18,10,23,2023-10-18,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,9,90,EEUU,EEUU,36,Femenino,Smart TV,3 Meses,0,3,Trimestral,490,2034-01-13,165,Plan Básico,1,2034
490,Básica,10,18,10,23,2023-10-18,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,9,90,EEUU,EEUU,36,Femenino,Smart TV,3 Meses,0,3,Trimestral,490,2036-05-15,360,Plan Premium,5,2036
491,Premium,14,7,10,23,2023-10-07,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,126,Canadá,Canadá,28,Femenino,Smartphone,1 Mes,0,1,Mensual,491,2032-02-18,238,Plan Premium,2,2032
491,Premium,14,7,10,23,2023-10-07,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,126,Canadá,Canadá,28,Femenino,Smartphone,1 Mes,0,1,Mensual,491,2036-02-15,179,Plan Básico,2,2036
493,Estándar,12,18,9,23,2023-09-18,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,10,120,Reino Unido,Reino Unido,35,Femenino,Smartphone,12 Meses,0,12,Anual,493,2023-03-20,84,Plan Básico,3,2023
493,Estándar,12,18,9,23,2023-09-18,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,10,120,Reino Unido,Reino Unido,35,Femenino,Smartphone,12 Meses,0,12,Anual,493,2026-05-24,191,Plan Básico,5,2026
493,Estándar,12,18,9,23,2023-09-18,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,10,120,Reino Unido,Reino Unido,35,Femenino,Smartphone,12 Meses,0,12,Anual,493,2032-03-18,251,Plan Básico,3,2032
493,Estándar,12,18,9,23,2023-09-18,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,10,120,Reino Unido,Reino Unido,35,Femenino,Smartphone,12 Meses,0,12,Anual,493,2035-02-24,48,Plan Estándar,2,2035
494,Estándar,12,27,9,23,2023-09-27,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,10,120,Italia,Italia,31,Masculino,Smart TV,1 Mes,0,1,Mensual,494,2027-11-13,469,Plan Estándar,11,2027
494,Estándar,12,27,9,23,2023-09-27,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,10,120,Italia,Italia,31,Masculino,Smart TV,1 Mes,0,1,Mensual,494,2030-06-12,310,Plan Básico,6,2030
494,Estándar,12,27,9,23,2023-09-27,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,10,120,Italia,Italia,31,Masculino,Smart TV,1 Mes,0,1,Mensual,494,2033-05-28,297,Plan Básico,5,2033
494,Estándar,12,27,9,23,2023-09-27,1900-01-29,1900-01-06,1900-01-24,miércoles,2024-06-29,10,120,Italia,Italia,31,Masculino,Smart TV,1 Mes,0,1,Mensual,494,2034-07-28,455,Plan Premium,7,2034
495,Básica,10,30,9,23,2023-09-30,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,9,90,Reino Unido,Reino Unido,39,Masculino,Smartphone,1 Mes,0,1,Mensual,495,2032-04-30,60,Plan Básico,4,2032
495,Básica,10,30,9,23,2023-09-30,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,9,90,Reino Unido,Reino Unido,39,Masculino,Smartphone,1 Mes,0,1,Mensual,495,2033-08-16,421,Plan Estándar,8,2033
495,Básica,10,30,9,23,2023-09-30,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,9,90,Reino Unido,Reino Unido,39,Masculino,Smartphone,1 Mes,0,1,Mensual,495,2036-01-08,52,Plan Premium,1,2036
497,Básica,10,9,11,23,2023-11-09,1900-01-29,1900-01-06,1900-01-24,jueves,2024-06-29,8,80,Francia,Francia,44,Masculino,Smartphone,1 Mes,0,1,Mensual,497,2024-02-28,392,Plan Básico,2,2024
497,Básica,10,9,11,23,2023-11-09,1900-01-29,1900-01-06,1900-01-24,jueves,2024-06-29,8,80,Francia,Francia,44,Masculino,Smartphone,1 Mes,0,1,Mensual,497,2028-10-13,428,Plan Estándar,10,2028
498,Estándar,12,17,11,23,2023-11-17,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,8,96,Alemania,Alemania,41,Femenino,Smartphone,1 Mes,0,1,Mensual,498,2035-01-09,233,Plan Estándar,1,2035
499,Premium,14,18,11,23,2023-11-18,1900-01-26,1900-01-06,1900-01-24,sábado,2024-06-26,8,112,Alemania,Alemania,28,Femenino,Ordenador,1 Mes,0,1,Mensual,499,2033-09-02,150,Plan Premium,9,2033
499,Premium,14,18,11,23,2023-11-18,1900-01-26,1900-01-06,1900-01-24,sábado,2024-06-26,8,112,Alemania,Alemania,28,Femenino,Ordenador,1 Mes,0,1,Mensual,499,2034-03-30,267,Plan Estándar,3,2034
499,Premium,14,18,11,23,2023-11-18,1900-01-26,1900-01-06,1900-01-24,sábado,2024-06-26,8,112,Alemania,Alemania,28,Femenino,Ordenador,1 Mes,0,1,Mensual,499,2035-02-26,187,Plan Estándar,2,2035
500,Básica,10,22,11,23,2023-11-22,1900-01-30,1900-01-06,1900-01-24,miércoles,2024-06-30,8,80,Reino Unido,Reino Unido,38,Masculino,Ordenador,12 Meses,0,12,Anual,500,2024-06-03,197,Plan Básico,6,2024
500,Básica,10,22,11,23,2023-11-22,1900-01-30,1900-01-06,1900-01-24,miércoles,2024-06-30,8,80,Reino Unido,Reino Unido,38,Masculino,Ordenador,12 Meses,0,12,Anual,500,2029-07-02,316,Plan Premium,7,2029
500,Básica,10,22,11,23,2023-11-22,1900-01-30,1900-01-06,1900-01-24,miércoles,2024-06-30,8,80,Reino Unido,Reino Unido,38,Masculino,Ordenador,12 Meses,0,12,Anual,500,2032-12-07,341,Plan Premium,12,2032
501,Premium,14,22,11,23,2023-11-22,1900-01-28,1900-01-06,1900-01-24,miércoles,2024-06-28,8,112,Canadá,Canadá,43,Masculino,Smartphone,1 Mes,0,1,Mensual,501,2030-04-17,247,Plan Premium,4,2030
503,Estándar,12,10,11,23,2023-11-10,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,8,96,España,España,30,Masculino,Tablet,6 Meses,0,6,Semestral,503,2023-04-11,349,Plan Básico,4,2023
503,Estándar,12,10,11,23,2023-11-10,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,8,96,España,España,30,Masculino,Tablet,6 Meses,0,6,Semestral,503,2023-04-21,206,Plan Básico,4,2023
503,Estándar,12,10,11,23,2023-11-10,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,8,96,España,España,30,Masculino,Tablet,6 Meses,0,6,Semestral,503,2025-06-21,333,Plan Premium,6,2025
504,Estándar,12,21,10,23,2023-10-21,1900-01-29,1900-01-06,1900-01-24,sábado,2024-06-29,9,108,Canadá,Canadá,32,Femenino,Ordenador,12 Meses,0,12,Anual,504,2027-07-22,27,Plan Estándar,7,2027
505,Básica,10,21,10,23,2023-10-21,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,90,Francia,Francia,35,Masculino,Smartphone,3 Meses,0,3,Trimestral,505,2024-07-03,146,Plan Premium,7,2024
505,Básica,10,21,10,23,2023-10-21,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,90,Francia,Francia,35,Masculino,Smartphone,3 Meses,0,3,Trimestral,505,2030-07-13,134,Plan Estándar,7,2030
505,Básica,10,21,10,23,2023-10-21,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,90,Francia,Francia,35,Masculino,Smartphone,3 Meses,0,3,Trimestral,505,2033-11-02,223,Plan Básico,11,2033
508,Estándar,12,23,10,23,2023-10-23,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,9,108,Australia,Australia,42,Femenino,Tablet,1 Mes,0,1,Mensual,508,2034-04-03,358,Plan Básico,4,2034
509,Premium,14,21,10,23,2023-10-21,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,9,126,Brasil,Brasil,40,Masculino,Smartphone,1 Mes,0,1,Mensual,509,2032-10-07,11,Plan Básico,10,2032
510,Básica,10,6,10,23,2023-10-06,1900-01-29,1900-01-06,1900-01-24,viernes,2024-06-29,9,90,EEUU,EEUU,43,Femenino,Tablet,1 Mes,0,1,Mensual,510,2028-09-23,438,Plan Premium,9,2028
511,Premium,14,26,7,23,2023-07-26,1900-01-28,1900-01-06,1900-01-24,miércoles,2024-06-28,12,168,Francia,Francia,44,Femenino,Smart TV,1 Mes,0,1,Mensual,511,2024-06-05,377,Plan Estándar,6,2024
511,Premium,14,26,7,23,2023-07-26,1900-01-28,1900-01-06,1900-01-24,miércoles,2024-06-28,12,168,Francia,Francia,44,Femenino,Smart TV,1 Mes,0,1,Mensual,511,2024-09-14,262,Plan Estándar,9,2024
513,Estándar,12,6,7,23,2023-07-06,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,12,144,Australia,Australia,50,Masculino,Tablet,6 Meses,0,6,Semestral,513,2024-01-18,414,Plan Estándar,1,2024
514,Estándar,12,7,7,23,2023-07-07,1900-01-28,1900-01-06,1900-01-24,viernes,2024-06-28,12,144,Francia,Francia,35,Masculino,Tablet,1 Mes,0,1,Mensual,514,2025-12-21,23,Plan Estándar,12,2025
515,Básica,10,1,7,23,2023-07-01,1900-01-29,1900-01-06,1900-01-24,sábado,2024-06-29,12,120,Francia,Francia,44,Femenino,Ordenador,1 Mes,0,1,Mensual,515,2027-05-07,157,Plan Básico,5,2027
515,Básica,10,1,7,23,2023-07-01,1900-01-29,1900-01-06,1900-01-24,sábado,2024-06-29,12,120,Francia,Francia,44,Femenino,Ordenador,1 Mes,0,1,Mensual,515,2029-03-08,150,Plan Estándar,3,2029
515,Básica,10,1,7,23,2023-07-01,1900-01-29,1900-01-06,1900-01-24,sábado,2024-06-29,12,120,Francia,Francia,44,Femenino,Ordenador,1 Mes,0,1,Mensual,515,2029-03-24,451,Plan Estándar,3,2029
515,Básica,10,1,7,23,2023-07-01,1900-01-29,1900-01-06,1900-01-24,sábado,2024-06-29,12,120,Francia,Francia,44,Femenino,Ordenador,1 Mes,0,1,Mensual,515,2034-04-12,453,Plan Estándar,4,2034
516,Premium,14,31,7,23,2023-07-31,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,11,154,Reino Unido,Reino Unido,42,Femenino,Smart TV,3 Meses,0,3,Trimestral,516,2024-02-24,481,Plan Estándar,2,2024
516,Premium,14,31,7,23,2023-07-31,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,11,154,Reino Unido,Reino Unido,42,Femenino,Smart TV,3 Meses,0,3,Trimestral,516,2026-12-24,287,Plan Básico,12,2026
516,Premium,14,31,7,23,2023-07-31,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,11,154,Reino Unido,Reino Unido,42,Femenino,Smart TV,3 Meses,0,3,Trimestral,516,2027-06-14,158,Plan Básico,6,2027
516,Premium,14,31,7,23,2023-07-31,1900-01-28,1900-01-06,1900-01-24,lunes,2024-06-28,11,154,Reino Unido,Reino Unido,42,Femenino,Smart TV,3 Meses,0,3,Trimestral,516,2032-01-28,216,Plan Premium,1,2032
